id,bank,city,state,date,date_numbers,acquired_by,assets_mil,cartodb_id,created_at,updated_at,cartodb_georef_status,longitude,latitude,geojson
200,BC National Banks,Butler,Missouri,1272585600000,20100430,Community First Bank,67,302,1357420806903,1357421120390,1,-94.34329,38.25739,"{""type"":""Point"",""coordinates"":[-94.34329,38.25739]}"
201,Bayside Savings Bank,Port Saint Joe,Florida,1280448000000,20100730,Centennial Bank,66,303,1357420806903,1357421121231,1,-85.30354,29.81228,"{""type"":""Point"",""coordinates"":[-85.30354,29.81228]}"
202,Pinehurst Bank,St. Paul,Minnesota,1274400000000,20100521,Coulee Bank,61,304,1357420806903,1357421122156,1,-93.09332,44.94382,"{""type"":""Point"",""coordinates"":[-93.09332,44.94382]}"
203,First National Bank,Rosedale,Mississippi,1275609600000,20100604,The Jefferson Bank,60,306,1357420806903,1357421123782,1,-91.02767,33.85496,"{""type"":""Point"",""coordinates"":[-91.02767,33.85496]}"
204,Lakeside Community Bank,Sterling Heights,Michigan,1271376000000,20100416,None (insured depositors paid directly),53,308,1357420806903,1357421124944,1,-83.01337,42.5933,"{""type"":""Point"",""coordinates"":[-83.01337,42.5933]}"
205,Carson River Community Bank,Carson City,Nevada,1267142400000,20100226,Heritage Bank of Nevada,51,309,1357420806903,1357421125700,1,-119.76697,39.16488,"{""type"":""Point"",""coordinates"":[-119.76697,39.16488]}"
206,Bramble Savings Bank,Milford,Ohio,1284681600000,20100917,Foundation Bank,48,310,1357420806903,1357421126459,1,-84.29641,39.17236,"{""type"":""Point"",""coordinates"":[-84.29641,39.17236]}"
207,Thunder Bank,Sylvan Grove,Kansas,1279843200000,20100723,The Bennington State Bank,33,312,1357420806903,1357421128310,1,-98.39321,39.01153,"{""type"":""Point"",""coordinates"":[-98.39321,39.01153]}"
208,Access Bank,Champlin,Minnesota,1273190400000,20100507,PrinsBank,32,313,1357420806903,1357421128956,1,-93.3922,45.1695,"{""type"":""Point"",""coordinates"":[-93.3922,45.1695]}"
209,Community National Bank,Lino Lakes,Minnesota,1292544000000,20101217,Farmers & Merchants Savings Bank,29,315,1357420806903,1357421130673,1,-93.11177,45.17704,"{""type"":""Point"",""coordinates"":[-93.11177,45.17704]}"
